item_id,timestamp,target_value
ETHUSD,2023-03-05 23:00:00,1563.22
ETHUSD,2023-03-05 22:00:00,1571.86
ETHUSD,2023-03-05 21:00:00,1570.29
ETHUSD,2023-03-05 20:00:00,1566.97
ETHUSD,2023-03-05 19:00:00,1568.52
ETHUSD,2023-03-05 18:00:00,1569.09
ETHUSD,2023-03-05 17:00:00,1570.45
ETHUSD,2023-03-05 16:00:00,1569.59
ETHUSD,2023-03-05 15:00:00,1570.06
ETHUSD,2023-03-05 14:00:00,1573.37
ETHUSD,2023-03-05 13:00:00,1570.64
ETHUSD,2023-03-05 12:00:00,1569.45
ETHUSD,2023-03-05 11:00:00,1570.31
ETHUSD,2023-03-05 10:00:00,1569.6
ETHUSD,2023-03-05 09:00:00,1565.48
ETHUSD,2023-03-05 08:00:00,1568.51
ETHUSD,2023-03-05 07:00:00,1572.16
ETHUSD,2023-03-05 06:00:00,1570.66
ETHUSD,2023-03-05 05:00:00,1573.08
ETHUSD,2023-03-05 04:00:00,1567.89
ETHUSD,2023-03-05 03:00:00,1566.73
ETHUSD,2023-03-05 02:00:00,1581.59
ETHUSD,2023-03-05 01:00:00,1569.97
ETHUSD,2023-03-05 00:00:00,1566.77
ETHUSD,2023-03-04 23:00:00,1563.18
ETHUSD,2023-03-04 22:00:00,1556.82
ETHUSD,2023-03-04 21:00:00,1556.34
ETHUSD,2023-03-04 20:00:00,1559.68
ETHUSD,2023-03-04 19:00:00,1563.37
ETHUSD,2023-03-04 18:00:00,1562.4
ETHUSD,2023-03-04 17:00:00,1563.01
ETHUSD,2023-03-04 16:00:00,1563.44
ETHUSD,2023-03-04 15:00:00,1567.56
ETHUSD,2023-03-04 14:00:00,1568.22
ETHUSD,2023-03-04 13:00:00,1570.95
ETHUSD,2023-03-04 12:00:00,1569.36
ETHUSD,2023-03-04 11:00:00,1569.42
ETHUSD,2023-03-04 10:00:00,1569.03
ETHUSD,2023-03-04 09:00:00,1567.89
ETHUSD,2023-03-04 08:00:00,1569.42
ETHUSD,2023-03-04 07:00:00,1570.58
ETHUSD,2023-03-04 06:00:00,1566.75
ETHUSD,2023-03-04 05:00:00,1569.23
ETHUSD,2023-03-04 04:00:00,1571.21
ETHUSD,2023-03-04 03:00:00,1571.55
ETHUSD,2023-03-04 02:00:00,1572.14
ETHUSD,2023-03-04 01:00:00,1574.82
ETHUSD,2023-03-04 00:00:00,1569.45
ETHUSD,2023-03-03 23:00:00,1566.93
ETHUSD,2023-03-03 22:00:00,1559.06
ETHUSD,2023-03-03 21:00:00,1559.28
ETHUSD,2023-03-03 20:00:00,1565.21
ETHUSD,2023-03-03 19:00:00,1561.98
ETHUSD,2023-03-03 18:00:00,1572.39
ETHUSD,2023-03-03 17:00:00,1569.55
ETHUSD,2023-03-03 16:00:00,1566.69
ETHUSD,2023-03-03 15:00:00,1570.97
ETHUSD,2023-03-03 14:00:00,1573.17
ETHUSD,2023-03-03 13:00:00,1564.86
ETHUSD,2023-03-03 12:00:00,1565.3
ETHUSD,2023-03-03 11:00:00,1567.54
ETHUSD,2023-03-03 10:00:00,1567.84
ETHUSD,2023-03-03 09:00:00,1572.31
ETHUSD,2023-03-03 08:00:00,1569.3
ETHUSD,2023-03-03 07:00:00,1566.09
ETHUSD,2023-03-03 06:00:00,1567.44
